id,created_at,user_screen_name,user_followers_count,user_location,user_verified,user_friends_count,user_listed_count,user_favourites_count,user_statuses_count,user_geo_enabled,Hashtags,text,Bot_or_NoBot
9.9E+17,29-04-18 3:26,amith97ba,270,"Bangalore, India",FALSE,760,794,9417,11619,FALSE,[],@airtelindia All your problems to watch Ipl matches can be solved within 10 mins... 1) Buy @airtelindia 4G Season p…,Bot
9.9E+17,29-04-18 3:23,ZackREX3,7,"New Delhi, India",FALSE,33,303,1203,380,FALSE,"[{'indices': [16, 24], 'text': 'iphone8'}, {'indices': [36, 39], 'text': 's8'}]",@geekyranjit Is #iphone8 or samsung #s8 worth to buy today,NoBot
9.9E+17,29-04-18 3:17,daichi1SOL,471,,FALSE,442,920,2091,1199,TRUE,[],RT @daichi1SOL: iPhone8📱♦️cool👍👍👍,NoBot
9.9E+17,29-04-18 3:17,ayarie1003,264,,FALSE,251,727,2479,1039,FALSE,[],@M1jgHuCuFqpzt2S iPhone8,NoBot
9.9E+17,29-04-18 3:15,9_arashi_11,1108,,FALSE,250,509,23392,6028,FALSE,[],@aiba___nicchi iPhone8,NoBot
9.9E+17,29-04-18 3:02,iPhone8andx,1903,United States,FALSE,56,14443,19,9863,FALSE,"[{'indices': [0, 4], 'text': 'Win'}, {'indices': [18, 26], 'text': 'iPhoneX'}, {'indices': [33, 41], 'text': 'iPhone8'}, {'indices': [99, 108], 'text': 'Giveaway'}, {'indices': [109, 115], 'text': 'Phone'}]",#Win one of these #iPhoneX &amp; #iPhone8 ?? just RETWEET &amp; FOLLOW us COMMENT THE ONE YOU WANT #Giveaway #Phone 19,Bot
9.9E+17,29-04-18 3:02,VijayAadith,0,,FALSE,37,317,16,26,FALSE,"[{'indices': [117, 125], 'text': 'iPhone8'}]","RT @StreamMe: We're excited to announce our newest giveaway! Make sure to follow the instructions below, good luck. #iPhone8 &amp; 2,800 #Fort…",NoBot
9.9E+17,29-04-18 3:01,HollyG56,310,"Connecticut, USA",FALSE,192,217,50452,32125,TRUE,[],@nikki_paige0420 I’m going to get iphone8 plus red. It’s part of a program for Support Global Fund for an AIDS-free Generation,NoBot
9.9E+17,29-04-18 3:00,_lovloe,3094,,FALSE,1894,466,13985,15056,TRUE,"[{'indices': [50, 59], 'text': 'Prom2k18'}]",RT @crishannaaa: y’all see what a iphone8 can do? #Prom2k18,NoBot
9.9E+17,29-04-18 2:59,CSpire,16365,,TRUE,2105,818,2625,70686,TRUE,[],@LaJaySmith We'd love to work with you to get the iPhone 8. For a limited time get 50% off with a trade-in. Check u…,NoBot
9.9E+17,29-04-18 2:48,crishannaaa,2460,"Denmark, TN",FALSE,952,15486,9873,84110,TRUE,"[{'indices': [33, 42], 'text': 'Prom2k18'}]",y’all see what a iphone8 can do? #Prom2k18,Bot
