,id,created_at,user_screen_name,user_followers_count,user_location,user_verified,user_friends_count,user_listed_count,user_favourites_count,user_statuses_count,user_geo_enabled,Hashtags,text,Bot_or_NoBot,
0,9.90432E+17,29-04-18 3:26,amith97ba,270,"Bangalore, India",FALSE,760,2,9417,11619,FALSE,[],@airtelindia All your problems to watch Ipl matches can be solved within 10 mins... 1) Buy @airtelindia 4G Season p…,0,
5,9.90426E+17,29-04-18 3:02,iPhone8andx,1903,United States,FALSE,56,5,19,9863,FALSE,"[{'indices': [0, 4], 'text': 'Win'}, {'indices': [18, 26], 'text': 'iPhoneX'}, {'indices': [33, 41], 'text': 'iPhone8'}, {'indices': [99, 108], 'text': 'Giveaway'}, {'indices': [109, 115], 'text': 'Phone'}]",#Win one of these #iPhoneX &amp; #iPhone8 ?? just RETWEET &amp; FOLLOW us COMMENT THE ONE YOU WANT #Giveaway #Phone 19,0,
10,9.90423E+17,29-04-18 2:48,crishannaaa,2460,"Denmark, TN",FALSE,952,3,9873,84110,TRUE,"[{'indices': [33, 42], 'text': 'Prom2k18'}]",y’all see what a iphone8 can do? #Prom2k18,0,
11,9.9042E+17,29-04-18 2:36,DismayingCrab,212,"California, USA",FALSE,2245,0,268,468,FALSE,"[{'indices': [37, 43], 'text': 'apple'}, {'indices': [44, 52], 'text': 'iphonex'}, {'indices': [53, 57], 'text': 'ios'}, {'indices': [58, 76], 'text': 'iphonephotography'}, {'indices': [77, 89], 'text': 'iphone8plus'}, {'indices': [90, 98], 'text': 'iphone8'}, {'indices': [99, 111], 'text': 'iphone7plus'}, {'indices': [112, 120], 'text': 'iphone7'}, {'indices': [121, 129], 'text': 'macbook'}]",RT @Meritc_: {iPhone X 🍎 Space Grey} #apple #iphonex #ios #iphonephotography #iphone8plus #iphone8 #iphone7plus #iphone7 #macbook #macbookp…,0,
13,9.90419E+17,29-04-18 2:32,kilroylane,294,kilroy ln WEAR YOUR SOCKS,FALSE,599,3,11832,7236,FALSE,[],im playing fortnite on my iphone8 the future is now,0,
14,9.90418E+17,29-04-18 2:30,iPhone8andx,1903,United States,FALSE,56,5,19,9863,FALSE,"[{'indices': [0, 4], 'text': 'Win'}, {'indices': [18, 26], 'text': 'iPhoneX'}, {'indices': [33, 41], 'text': 'iPhone8'}, {'indices': [99, 108], 'text': 'Giveaway'}, {'indices': [109, 115], 'text': 'Phone'}]",#Win one of these #iPhoneX &amp; #iPhone8 ?? just RETWEET &amp; FOLLOW us COMMENT THE ONE YOU WANT #Giveaway #Phone 18,0,
17,9.90416E+17,29-04-18 2:23,civictyper4693,165,大分県宇佐市,FALSE,187,0,3467,1816,TRUE,[],iPhone8,0,
19,9.90411E+17,29-04-18 2:01,iPhone8andx,1903,United States,FALSE,56,5,19,9863,FALSE,"[{'indices': [0, 4], 'text': 'Win'}, {'indices': [18, 26], 'text': 'iPhoneX'}, {'indices': [33, 41], 'text': 'iPhone8'}, {'indices': [99, 108], 'text': 'Giveaway'}, {'indices': [109, 115], 'text': 'Phone'}]",#Win one of these #iPhoneX &amp; #iPhone8 ?? just RETWEET &amp; FOLLOW us COMMENT THE ONE YOU WANT #Giveaway #Phone 17,0,
22,9.90403E+17,29-04-18 1:30,lebo1675,490,Welgedag gauteng,FALSE,565,2,570,387,FALSE,"[{'indices': [18, 32], 'text': 'JUST_LAUNCHED'}, {'indices': [33, 45], 'text': 'Competition'}, {'indices': [98, 109], 'text': 'winiPhone8'}, {'indices': [110, 126], 'text': 'giveawayiPhone8'}]",RT @Free_iphone8: #JUST_LAUNCHED #Competition Retweet &amp; Follow me @Free_iphone8 for chance to #winiPhone8 #giveawayiPhone8 good luck! https…,0,
23,9.90403E+17,29-04-18 1:30,iPhone8andx,1903,United States,FALSE,56,5,19,9863,FALSE,"[{'indices': [0, 4], 'text': 'Win'}, {'indices': [18, 26], 'text': 'iPhoneX'}, {'indices': [37, 45], 'text': 'iPhone8'}, {'indices': [107, 116], 'text': 'Giveaway'}, {'indices': [117, 123], 'text': 'Phone'}]",#Win one of these #iPhoneX &amp;amp; #iPhone8 ?? just RETWEET &amp;amp; FOLLOW us COMMENT THE ONE YOU WANT #Giveaway #Phone…,0,
