,id,created_at,user_screen_name,user_followers_count,user_location,user_verified,user_friends_count,user_listed_count,user_favourites_count,user_statuses_count,user_geo_enabled,Hashtags,text,Sentiment,SentimentClass,Bot_or_NoBot
0,9.90E+17,29-04-18 3:26,amith97ba,270,"Bangalore, India",FALSE,146779,18358,9417,11619,FALSE,[],@airtelindia All your problems to watch Ipl matches can be solved within 10 mins... 1) Buy @airtelindia 4G Season p…,0,Neutral,0
1,9.90E+17,29-04-18 3:23,ZackREX3,7,"New Delhi, India",FALSE,72584,3023,1203,380,FALSE,"[{'indices': [16, 24], 'text': 'iphone8'}, {'indices': [36, 39], 'text': 's8'}]",@geekyranjit Is #iphone8 or samsung #s8 worth to buy today,0.3,Positive,1
2,9.90E+17,29-04-18 3:17,daichi1SOL,471,,FALSE,11695,1179,2091,1199,TRUE,[],RT @daichi1SOL: iPhone8📱♦️cool👍👍👍,0,Neutral,1
3,9.90E+17,29-04-18 3:17,ayarie1003,264,,FALSE,6122,763,2479,1039,FALSE,[],@M1jgHuCuFqpzt2S iPhone8,0,Neutral,1
4,9.90E+17,29-04-18 3:15,9_arashi_11,1108,,FALSE,5071,617,23392,6028,FALSE,[],@aiba___nicchi iPhone8,0,Neutral,1
5,9.90E+17,29-04-18 3:02,iPhone8andx,1903,United States,FALSE,36918,3872,19,9863,FALSE,"[{'indices': [0, 4], 'text': 'Win'}, {'indices': [18, 26], 'text': 'iPhoneX'}, {'indices': [33, 41], 'text': 'iPhone8'}, {'indices': [99, 108], 'text': 'Giveaway'}, {'indices': [109, 115], 'text': 'Phone'}]",#Win one of these #iPhoneX &amp; #iPhone8 ?? just RETWEET &amp; FOLLOW us COMMENT THE ONE YOU WANT #Giveaway #Phone 19,0.8,Positive,0
6,9.90E+17,29-04-18 3:02,VijayAadith,0,,FALSE,5071,512,16,26,FALSE,"[{'indices': [117, 125], 'text': 'iPhone8'}]","RT @StreamMe: We're excited to announce our newest giveaway! Make sure to follow the instructions below, good luck. #iPhone8 &amp; 2,800 #Fort…",0.55625,Positive,1
7,9.90E+17,29-04-18 3:01,HollyG56,310,"Connecticut, USA",FALSE,5001,419,50452,32125,TRUE,[],@nikki_paige0420 I’m going to get iphone8 plus red. It’s part of a program for Support Global Fund for an AIDS-free Generation,0,Neutral,1
8,9.90E+17,29-04-18 3:00,_lovloe,3094,,FALSE,4971,408,13985,15056,TRUE,"[{'indices': [50, 59], 'text': 'Prom2k18'}]",RT @crishannaaa: y’all see what a iphone8 can do? #Prom2k18,0,Neutral,1
9,9.90E+17,29-04-18 2:59,CSpire,16365,,TRUE,4968,378,2625,70686,TRUE,[],@LaJaySmith We'd love to work with you to get the iPhone 8. For a limited time get 50% off with a trade-in. Check u…,0.214285714,Positive,1
10,9.90E+17,29-04-18 2:48,crishannaaa,2460,"Denmark, TN",FALSE,13790,1642,9873,84110,TRUE,"[{'indices': [33, 42], 'text': 'Prom2k18'}]",y’all see what a iphone8 can do? #Prom2k18,0,Neutral,0
11,9.90E+17,29-04-18 2:36,DismayingCrab,212,"California, USA",FALSE,13790,1548,268,468,FALSE,"[{'indices': [37, 43], 'text': 'apple'}, {'indices': [44, 52], 'text': 'iphonex'}, {'indices': [53, 57], 'text': 'ios'}, {'indices': [58, 76], 'text': 'iphonephotography'}, {'indices': [77, 89], 'text': 'iphone8plus'}, {'indices': [90, 98], 'text': 'iphone8'}, {'indices': [99, 111], 'text': 'iphone7plus'}, {'indices': [112, 120], 'text': 'iphone7'}, {'indices': [121, 129], 'text': 'macbook'}]",RT @Meritc_: {iPhone X 🍎 Space Grey} #apple #iphonex #ios #iphonephotography #iphone8plus #iphone8 #iphone7plus #iphone7 #macbook #macbookp…,-0.4,Negative,0
12,9.90E+17,29-04-18 2:36,Meritc_,469,"California, USA",FALSE,4933,335,5122,163,FALSE,"[{'indices': [24, 30], 'text': 'apple'}, {'indices': [31, 39], 'text': 'iphonex'}, {'indices': [40, 44], 'text': 'ios'}, {'indices': [45, 63], 'text': 'iphonephotography'}, {'indices': [64, 76], 'text': 'iphone8plus'}, {'indices': [77, 85], 'text': 'iphone8'}, {'indices': [86, 98], 'text': 'iphone7plus'}, {'indices': [99, 107], 'text': 'iphone7'}]",{iPhone X 🍎 Space Grey} #apple #iphonex #ios #iphonephotography #iphone8plus #iphone8 #iphone7plus #iphone7…,-0.05,Negative,1
13,9.90E+17,29-04-18 2:32,kilroylane,294,kilroy ln WEAR YOUR SOCKS,FALSE,13790,1109,11832,7236,FALSE,[],im playing fortnite on my iphone8 the future is now,0,Neutral,0
14,9.90E+17,29-04-18 2:30,iPhone8andx,1903,United States,FALSE,13790,968,19,9863,FALSE,"[{'indices': [0, 4], 'text': 'Win'}, {'indices': [18, 26], 'text': 'iPhoneX'}, {'indices': [33, 41], 'text': 'iPhone8'}, {'indices': [99, 108], 'text': 'Giveaway'}, {'indices': [109, 115], 'text': 'Phone'}]",#Win one of these #iPhoneX &amp; #iPhone8 ?? just RETWEET &amp; FOLLOW us COMMENT THE ONE YOU WANT #Giveaway #Phone 18,0.8,Positive,0
15,9.90E+17,29-04-18 2:30,RealJdm819,323,Tiny Village,FALSE,4933,304,18621,29366,TRUE,"[{'indices': [77, 85], 'text': 'iPhone8'}]",No Filter One Shot of this Gorgeous East Longmeadow Sun Setting 😍 ° ° ° ° ° #iPhone8…,0.7,Positive,1
16,9.90E+17,29-04-18 2:26,AminSaifuddin95,123,,FALSE,4903,236,6111,4646,TRUE,"[{'indices': [24, 32], 'text': 'iphone8'}]",Yesterday i checked out #iphone8 Product : RED with all the glorious hype from youtubers..and in my honest opinion.…,0.3,Positive,1
17,9.90E+17,29-04-18 2:23,civictyper4693,165,大分県宇佐市,FALSE,13790,759,3467,1816,TRUE,[],iPhone8,0,Neutral,0
18,9.90E+17,29-04-18 2:17,ReadySetIndGame,2101,"Maryland, USA",FALSE,4374,236,19088,106836,FALSE,"[{'indices': [114, 127], 'text': 'Androidgames'}, {'indices': [128, 143], 'text': 'RetweeetPlease'}]",RT @ate10games: Top 10 Racing Games With Realistic Graphics for Android &amp; iOS ⤵⤵ Link:https://t.co/dndNL593Lo #Androidgames #RetweeetPlease…,0.333333333,Positive,1
19,9.90E+17,29-04-18 2:01,iPhone8andx,1903,United States,FALSE,9431,458,19,9863,FALSE,"[{'indices': [0, 4], 'text': 'Win'}, {'indices': [18, 26], 'text': 'iPhoneX'}, {'indices': [33, 41], 'text': 'iPhone8'}, {'indices': [99, 108], 'text': 'Giveaway'}, {'indices': [109, 115], 'text': 'Phone'}]",#Win one of these #iPhoneX &amp; #iPhone8 ?? just RETWEET &amp; FOLLOW us COMMENT THE ONE YOU WANT #Giveaway #Phone 17,0.8,Positive,0
20,9.90E+17,29-04-18 1:35,CaseSwaggerUS,113,"Pennsylvania, USA",FALSE,3784,225,208,278,FALSE,[],Perfect number for that Saturday night out. This Lipstick Marble design will not let you down. Be sure to signup at…,0.448148148,Positive,1
21,9.90E+17,29-04-18 1:31,pinopride,23229,,FALSE,3549,214,231,1075,FALSE,"[{'indices': [53, 56], 'text': 'AC'}, {'indices': [60, 67], 'text': 'Energy'}, {'indices': [84, 94], 'text': 'Renewable'}, {'indices': [95, 101], 'text': 'Solar'}, {'indices': [102, 108], 'text': 'Power'}]",Make Right Climate Changes Now with New Life Style! #AC/DC #Energy Integrated with #Renewable #Solar #Power…,0.228084416,Positive,1
22,9.90E+17,29-04-18 1:30,lebo1675,490,Welgedag gauteng,FALSE,9376,419,570,387,FALSE,"[{'indices': [18, 32], 'text': 'JUST_LAUNCHED'}, {'indices': [33, 45], 'text': 'Competition'}, {'indices': [98, 109], 'text': 'winiPhone8'}, {'indices': [110, 126], 'text': 'giveawayiPhone8'}]",RT @Free_iphone8: #JUST_LAUNCHED #Competition Retweet &amp; Follow me @Free_iphone8 for chance to #winiPhone8 #giveawayiPhone8 good luck! https…,0.875,Positive,0
23,9.90E+17,29-04-18 1:30,iPhone8andx,1903,United States,FALSE,6122,408,19,9863,FALSE,"[{'indices': [0, 4], 'text': 'Win'}, {'indices': [18, 26], 'text': 'iPhoneX'}, {'indices': [37, 45], 'text': 'iPhone8'}, {'indices': [107, 116], 'text': 'Giveaway'}, {'indices': [117, 123], 'text': 'Phone'}]",#Win one of these #iPhoneX &amp;amp; #iPhone8 ?? just RETWEET &amp;amp; FOLLOW us COMMENT THE ONE YOU WANT #Giveaway #Phone…,0.8,Positive,0
